time_s,u,y
0,1,0
0.01,1,0.3820656121
0.02,1,0.7047632213
0.03,1,0.9637553975
0.04,1,1.181995667
0.05,1,1.354318931
0.06,1,1.504469431
0.07,-1,1.626268231
0.08,-1,1.021832087
0.09,-1,0.5333265418
0.1,-1,0.1198517477
0.11,-1,-0.2122605735
0.12,-1,-0.4845637373
0.13,-1,-0.7064177517
0.14,1,-0.8948857564
0.15,1,-0.3514366584
0.16,1,0.1070266446
0.17,1,0.4744772411
0.18,1,0.7827534107
0.19,1,1.035110649
0.2,1,1.238193732
0.21,1,1.408193243
0.22,1,1.54464768
0.23,1,1.654254801
0.24,1,1.746987074
0.25,1,1.816484108
0.26,1,1.871857965
0.27,1,1.926433844
0.28,1,1.96337352
0.29,1,1.987388384
0.3,1,2.022927643
0.31,1,2.059003769
0.32,1,2.074621779
0.33,1,2.089434116
0.34,1,2.101307863
0.35,-1,2.111031082
0.36,-1,1.42143068
0.37,-1,0.8521896692
0.38,-1,0.3924172249
0.39,-1,0.01147798337
0.4,-1,-0.2892338015
0.41,-1,-0.5527443067
0.42,-1,-0.7674679017
0.43,-1,-0.9382656381
0.44,-1,-1.070788026
0.45,-1,-1.196477797
0.46,-1,-1.292392369
0.47,-1,-1.374048396
0.48,-1,-1.434212102
0.49,-1,-1.487573372
0.5,-1,-1.537438211
0.51,-1,-1.563595514
0.52,-1,-1.59038308
0.53,-1,-1.611226362
0.54,-1,-1.631755859
0.55,-1,-1.643596645
0.56,-1,-1.651032318
0.57,-1,-1.67167992
0.58,-1,-1.686588366
0.59,-1,-1.700317687
0.6,-1,-1.702880447
0.61,-1,-1.704656467
0.62,-1,-1.709322694
0.63,1,-1.716675871
0.64,1,-1.017815236
0.65,1,-0.4526756945
0.66,1,0.02126288245
0.67,1,0.4129153186
0.68,1,0.7239377131
0.69,1,0.9847162652
0.7,-1,1.199191562
0.71,-1,0.676661109
0.72,-1,0.2465134915
0.73,-1,-0.1030458142
0.74,-1,-0.3944333323
0.75,-1,-0.6346616127
0.76,-1,-0.8281008154
0.77,1,-0.9920698294
0.78,1,-0.426661847
0.79,1,0.05103716666
0.8,1,0.4353696737
0.81,1,0.7518926296
0.82,1,0.9962252295
0.83,1,1.204310344
0.84,-1,1.366648087
0.85,-1,0.8107664303
0.86,-1,0.3638570491
0.87,-1,-0.01874726745
0.88,-1,-0.3152838337
0.89,-1,-0.5731792383
0.9,-1,-0.7791553062
0.91,1,-0.9530499108
0.92,1,-0.3947352861
0.93,1,0.05860365073
0.94,1,0.4313414979
0.95,1,0.7483530669
0.96,1,1.002336051
0.97,1,1.218436924
0.98,-1,1.385659211
0.99,-1,0.8272837972
1,-1,0.368301736
1.01,-1,-0.004229964284
1.02,-1,-0.3189321475
1.03,-1,-0.5790918955
1.04,-1,-0.7861024355
1.05,-1,-0.9613430038
1.06,-1,-1.10243318
1.07,-1,-1.217084494
1.08,-1,-1.295573142
1.09,-1,-1.377323799
1.1,-1,-1.445942959
1.11,-1,-1.496520466
1.12,-1,-1.534233649
1.13,-1,-1.575243628
1.14,-1,-1.598295704
1.15,-1,-1.622036613
1.16,-1,-1.641149098
1.17,-1,-1.649794607
1.18,-1,-1.664012116
1.19,1,-1.67774329
1.2,1,-0.9905151352
1.21,1,-0.4256238398
1.22,1,0.04078070337
1.23,1,0.4200425817
1.24,1,0.7356206297
1.25,1,0.996279543
1.26,-1,1.208946855
1.27,-1,0.6709788135
1.28,-1,0.2304610236
1.29,-1,-0.1255539781
1.3,-1,-0.4135512819
1.31,-1,-0.64340525
1.32,-1,-0.8329449093
1.33,-1,-0.99167023
1.34,-1,-1.117027392
1.35,-1,-1.214310263
1.36,-1,-1.305976819
1.37,-1,-1.374513186
1.38,-1,-1.431611695
1.39,-1,-1.484140703
1.4,-1,-1.533901738
1.41,-1,-1.567302468
1.42,-1,-1.598205468
1.43,-1,-1.626612427
1.44,-1,-1.643421439
1.45,-1,-1.66047858
1.46,-1,-1.674268773
1.47,-1,-1.684689577
1.48,-1,-1.684298998
1.49,-1,-1.687754766
1.5,-1,-1.693531056
1.51,-1,-1.692369833
1.52,-1,-1.694495172
1.53,-1,-1.710889799
1.54,-1,-1.716575922
1.55,-1,-1.715893026
1.56,-1,-1.713959996
1.57,-1,-1.712214524
1.58,-1,-1.714307154
1.59,-1,-1.710695385
1.6,-1,-1.707593746
1.61,-1,-1.710603013
1.62,-1,-1.713096532
1.63,-1,-1.711833109
1.64,-1,-1.709120937
1.65,-1,-1.712222955
1.66,-1,-1.716592559
1.67,-1,-1.719247032
1.68,-1,-1.725792188
1.69,-1,-1.727817726
1.7,-1,-1.728483259
1.71,-1,-1.725522346
1.72,-1,-1.716378741
1.73,-1,-1.715565705
1.74,-1,-1.720054596
1.75,1,-1.722142931
1.76,1,-1.021196828
1.77,1,-0.4398967659
1.78,1,0.03197534803
1.79,1,0.4143575525
1.8,1,0.7330638538
1.81,1,0.9932775843
1.82,-1,1.202810204
1.83,-1,0.6813302059
1.84,-1,0.2464474663
1.85,-1,-0.1147161506
1.86,-1,-0.3966384045
1.87,-1,-0.6243999424
1.88,-1,-0.8221360202
1.89,1,-0.9737900603
1.9,1,-0.409999689
1.91,1,0.0387037821
1.92,1,0.4190152492
1.93,1,0.7288872145
1.94,1,0.9837700466
1.95,1,1.199430468
1.96,-1,1.367986451
1.97,-1,0.8176194478
1.98,-1,0.3491599494
1.99,-1,-0.01612641891
2,-1,-0.3134165705
2.01,-1,-0.569863644
2.02,-1,-0.7726126972
2.03,1,-0.9500525802
2.04,1,-0.3945344526
2.05,1,0.06147055783
2.06,1,0.4365092873
2.07,1,0.7460541788
2.08,1,0.9843823359
2.09,1,1.196982995
2.1,1,1.367914431
2.11,1,1.517257736
2.12,1,1.628450319
2.13,1,1.72609521
2.14,1,1.797329484
2.15,1,1.876814664
2.16,1,1.943648188
2.17,-1,1.978774452
2.18,-1,1.319946399
2.19,-1,0.7795995162
2.2,-1,0.338829863
2.21,-1,-0.03213141163
2.22,-1,-0.3351918784
2.23,-1,-0.593754487
2.24,-1,-0.7960595723
2.25,-1,-0.9571433932
2.26,-1,-1.089227166
2.27,-1,-1.206766483
2.28,-1,-1.305473096
2.29,-1,-1.376204998
2.3,-1,-1.432226669
2.31,-1,-1.48298038
2.32,-1,-1.528395336
2.33,-1,-1.559021305
2.34,-1,-1.595389541
2.35,-1,-1.614844185
2.36,-1,-1.638954798
2.37,-1,-1.645232772
2.38,-1,-1.666395969
2.39,-1,-1.664647161
2.4,-1,-1.677975011
2.41,-1,-1.688996471
2.42,-1,-1.701290418
2.43,-1,-1.701718448
2.44,-1,-1.703836083
2.45,-1,-1.705820604
2.46,-1,-1.702248052
2.47,-1,-1.705666517
2.48,-1,-1.708375107
2.49,-1,-1.718973026
2.5,-1,-1.721646156
2.51,-1,-1.722671678
2.52,-1,-1.729031698
2.53,-1,-1.738790235
2.54,-1,-1.734458108
2.55,-1,-1.730681388
2.56,-1,-1.725023259
2.57,-1,-1.716331605
2.58,-1,-1.711282848
2.59,-1,-1.715348896
2.6,-1,-1.717448403
2.61,-1,-1.721753554
2.62,-1,-1.720310032
2.63,-1,-1.71842226
2.64,-1,-1.715161171
2.65,-1,-1.715495156
2.66,1,-1.717961646
2.67,1,-1.020918041
2.68,1,-0.4414723331
2.69,1,0.03217656799
2.7,1,0.4123913129
2.71,1,0.7268940855
2.72,1,0.9845148269
2.73,-1,1.197998727
2.74,-1,0.6746870916
2.75,-1,0.2402267607
2.76,-1,-0.1206703716
2.77,-1,-0.405234412
2.78,-1,-0.6327279197
2.79,-1,-0.8300569489
2.8,-1,-0.992888736
2.81,-1,-1.132731927
2.82,-1,-1.228823244
2.83,-1,-1.307624164
2.84,-1,-1.387785307
2.85,-1,-1.445998553
2.86,-1,-1.497885206
2.87,1,-1.536384017
2.88,1,-0.8640796399
2.89,1,-0.3107708662
2.9,1,0.1341017843
2.91,1,0.4998152752
2.92,1,0.7974100931
2.93,1,1.048910573
2.94,-1,1.252140207
2.95,-1,0.7073758279
2.96,-1,0.2617752434
2.97,-1,-0.09081426315
2.98,-1,-0.3902145365
2.99,-1,-0.6326144436
3,-1,-0.8370476737
3.01,-1,-1.004491519
3.02,-1,-1.135917823
3.03,-1,-1.241281903
3.04,-1,-1.330078746
3.05,-1,-1.397376137
3.06,-1,-1.459583065
3.07,-1,-1.513529427
3.08,-1,-1.548158608
3.09,-1,-1.575979111
3.1,-1,-1.604269314
3.11,-1,-1.632336844
3.12,-1,-1.644713111
3.13,-1,-1.656587095
3.14,-1,-1.66852357
3.15,-1,-1.674372809
3.16,-1,-1.677938221
3.17,-1,-1.68237767
3.18,-1,-1.685516698
3.19,-1,-1.693473191
3.2,-1,-1.697779229
3.21,-1,-1.701965259
3.22,1,-1.711007029
3.23,1,-1.00993848
3.24,1,-0.4424388403
3.25,1,0.02038572963
3.26,1,0.4137573546
3.27,1,0.7257488019
3.28,1,0.9795631376
3.29,-1,1.196555287
3.3,-1,0.6602804509
3.31,-1,0.2284008529
3.32,-1,-0.122461305
3.33,-1,-0.4143781209
3.34,-1,-0.656311711
3.35,-1,-0.8567008761
3.36,1,-1.006917095
3.37,1,-0.4341028875
3.38,1,0.02757704757
3.39,1,0.4156868269
3.4,1,0.7211379808
3.41,1,0.983640305
3.42,1,1.195722215
3.43,-1,1.377443358
3.44,-1,0.8211089938
3.45,-1,0.3606735425
3.46,-1,-0.005098231151
3.47,-1,-0.3185919363
3.48,-1,-0.5726952721
3.49,-1,-0.7831341489
3.5,-1,-0.9536628208
3.51,-1,-1.088455458
3.52,-1,-1.202448076
3.53,-1,-1.303188311
3.54,-1,-1.378051858
3.55,-1,-1.445697739
3.56,-1,-1.497356922
3.57,1,-1.539641437
3.58,1,-0.8746472574
3.59,1,-0.3273239545
3.6,1,0.1201860158
3.61,1,0.4824921116
3.62,1,0.7763279004
3.63,1,1.025111306
3.64,1,1.22945177
3.65,1,1.389477766
3.66,1,1.526185497
3.67,1,1.642586677
3.68,1,1.746727526
3.69,1,1.820075132
3.7,1,1.879250904
3.71,1,1.928559603
3.72,1,1.971449749
3.73,1,2.017099162
3.74,1,2.043772799
3.75,1,2.056711749
3.76,1,2.071550945
3.77,1,2.085263694
3.78,1,2.101051078
3.79,1,2.114753451
3.8,1,2.128952806
3.81,1,2.139424132
3.82,1,2.149650751
3.83,1,2.15449047
3.84,1,2.1592343
3.85,-1,2.170238357
3.86,-1,1.468465674
3.87,-1,0.8986462663
3.88,-1,0.418461034
3.89,-1,0.03521201659
3.9,-1,-0.2865712928
3.91,-1,-0.5417315929
3.92,1,-0.7496088472
3.93,1,-0.2221023071
3.94,1,0.2156678463
3.95,1,0.5739591862
3.96,1,0.8575365628
3.97,1,1.095781847
3.98,1,1.286632161
3.99,-1,1.44017894
4,-1,0.8610737446
4.01,-1,0.3925618626
4.02,-1,0.01069976325
4.03,-1,-0.3015058087
4.04,-1,-0.5626142948
4.05,-1,-0.7663077314
4.06,-1,-0.937121641
4.07,-1,-1.077210307
4.08,-1,-1.193367097
4.09,-1,-1.284347422
4.1,-1,-1.363112014
4.11,-1,-1.423821677
4.12,-1,-1.476912183
4.13,1,-1.523788297
4.14,1,-0.8557019994
4.15,1,-0.3144993712
4.16,1,0.1275006887
