time,input2,output2,input1,output1
0.0,-1.0,-0.10106487051958449,0.0,0.29796296705687075
0.02,-1.0,-0.398643727838123,0.0,0.39858231182407333
0.04,-1.0,-0.5651594572488089,0.0,0.47414889658393217
0.06,-1.0,-0.6550352879170867,0.0,0.5313485342522823
0.08,-1.0,-0.70660761598878,0.0,0.5736387693273508
0.1,-1.0,-0.7347985868071809,0.0,0.6038613649353309
0.12,-1.0,-0.7495064380933407,0.0,0.630442121377449
0.14,-1.0,-0.7574988236107216,0.0,0.6490911809223047
0.16,-1.0,-0.7625871766195778,0.0,0.6590876330505101
0.18,-1.0,-0.7651338846499526,0.0,0.6691909822364096
0.2,-1.0,-0.7657585214392307,1.0,0.6762753320966202
0.22,-1.0,-0.6462649115072144,1.0,0.9320053384320007
0.24,-1.0,-0.5789422602748268,1.0,1.1280773429720998
0.26,-1.0,-0.5446721206108321,1.0,1.2690762821471793
0.28,-1.0,-0.5243372119303059,1.0,1.3796427695732811
0.3,-1.0,-0.5126817785876451,1.0,1.4582804946585541
0.32,-1.0,-0.5080759401941386,1.0,1.518925484319258
0.34,-1.0,-0.5022701309858925,1.0,1.5623589386416403
0.36,-1.0,-0.5023931857507433,1.0,1.598842442929973
0.38,-1.0,-0.5011588354929998,1.0,1.6201499447779912
0.4,0.0,-0.5002070477097705,-1.0,1.6423524529860833
0.42,0.0,-0.44178114834744175,-1.0,1.0578338506510514
0.44,0.0,-0.40732532194227106,-1.0,0.6188740982036558
0.46,0.0,-0.3891514145981255,-1.0,0.28610592682271174
0.48,0.0,-0.37821923253589484,-1.0,0.0432264151724228
0.5,0.0,-0.37297961993073475,-1.0,-0.14371537033432513
0.52,0.0,-0.36914069222034096,-1.0,-0.28515403318424176
0.54,0.0,-0.36877944409381014,-1.0,-0.3867081773329672
0.56,0.0,-0.3689541238900053,-1.0,-0.46559755021043164
0.58,0.0,-0.36754660976515413,-1.0,-0.5247310953249954
0.6,-1.0,-0.3683155750687435,0.0,-0.5670942924642396
0.62,-1.0,-0.5474452060945685,0.0,-0.25008149624996007
0.64,-1.0,-0.6456569329978178,0.0,-0.013903804486815287
0.66,-1.0,-0.700581683987551,0.0,0.16531202776798135
0.68,-1.0,-0.730222767556209,0.0,0.299545692868316
0.7000000000000001,-1.0,-0.7465982441750008,0.0,0.39794787508372
0.72,-1.0,-0.7549453886486728,0.0,0.4742452790026011
0.74,-1.0,-0.7605367778339055,0.0,0.5305851912196823
0.76,-1.0,-0.7631976358595056,0.0,0.5737875153341991
0.78,-1.0,-0.7649917762448226,0.0,0.6034281728824739
0.8,-1.0,-0.7669565228532992,0.0,0.6298108088057304
0.8200000000000001,-1.0,-0.7681910021170653,0.0,0.6459744118924324
0.84,-1.0,-0.7658755872676435,0.0,0.6603644210108178
0.86,-1.0,-0.7660888959900238,0.0,0.6675510419374773
0.88,-1.0,-0.7657804764709933,0.0,0.6772345860848431
0.9,-1.0,-0.7674348717858686,0.0,0.6839234663915614
0.92,-1.0,-0.767701216275036,0.0,0.6859896346541701
0.9400000000000001,-1.0,-0.7652584956459543,0.0,0.6901909743034973
0.96,-1.0,-0.7669456566313283,0.0,0.693614863953748
0.98,-1.0,-0.7671935444199169,0.0,0.6966669433900562
1.0,0.0,-0.7668738008010294,0.0,0.6962176769021915
1.02,0.0,-0.4681292978329688,0.0,0.5973575428277978
1.04,0.0,-0.301938845780474,0.0,0.5196518479635203
1.06,0.0,-0.2109833130879612,0.0,0.4666981138281068
1.08,0.0,-0.16129094418942025,0.0,0.42571156371388347
1.1,0.0,-0.13166031577442855,0.0,0.3931078953002998
1.12,0.0,-0.11835647034309718,0.0,0.3705484396512424
1.1400000000000001,0.0,-0.10935346865937914,0.0,0.35367033651290364
1.16,0.0,-0.10465110655552227,0.0,0.3409253473375249
1.18,0.0,-0.10267480228520053,0.0,0.32975882950145563
1.2,-1.0,-0.10228163035693191,-1.0,0.32210300107192985
1.22,-1.0,-0.5211161661153506,-1.0,0.16690894561196365
1.24,-1.0,-0.7532147259448881,-1.0,0.051298408971864544
1.26,-1.0,-0.8796797936236965,-1.0,-0.038656511382924225
1.28,-1.0,-0.9459743371382413,-1.0,-0.10408732035133753
1.3,-1.0,-0.9855877602739247,-1.0,-0.1520873684801499
1.32,-1.0,-1.0076184886072057,-1.0,-0.19143102497389394
1.34,-1.0,-1.0192504439178554,-1.0,-0.21512394697348367
1.36,-1.0,-1.0259465823406264,-1.0,-0.2387497944806714
1.3800000000000001,-1.0,-1.0281907988199426,-1.0,-0.25181187751926787
1.4000000000000001,0.0,-1.0312445421786838,1.0,-0.26616576814204984
1.42,0.0,-0.4897538402339178,1.0,0.12652013840827145
1.44,0.0,-0.19673119292114502,1.0,0.41887161150200874
1.46,0.0,-0.03235239069181612,1.0,0.639386064957967
1.48,0.0,0.05726298634559734,1.0,0.8073699645258087
1.5,0.0,0.10571921478175361,1.0,0.9277322978230287
1.52,0.0,0.13363281849951864,1.0,1.0213294692253632
1.54,0.0,0.14692648125598554,1.0,1.0924577641650657
1.56,0.0,0.1559499872139872,1.0,1.1426653649770058
1.58,0.0,0.1619604659394326,1.0,1.1841874035416986
1.6,0.0,0.16524874738624828,1.0,1.2109581367287887
1.62,0.0,0.1645140127106391,1.0,1.2327153169931302
1.6400000000000001,0.0,0.1634893046929386,1.0,1.2521850526333944
1.6600000000000001,0.0,0.1667932900363811,1.0,1.26363025107618
1.68,0.0,0.16606148370413454,1.0,1.2719271641689371
1.7,0.0,0.16688130884772828,1.0,1.278731169789658
1.72,0.0,0.16693739354543063,1.0,1.2848778760460977
1.74,0.0,0.16816166304182337,1.0,1.288296122811151
1.76,0.0,0.16932387008309346,1.0,1.2912702608299773
1.78,0.0,0.1665118403243898,1.0,1.2958872059796933
1.8,1.0,0.16642472761335422,-1.0,1.2951588630272202
1.82,1.0,0.22620453484644096,-1.0,0.6964908415400898
1.84,1.0,0.25905744074669596,-1.0,0.24762321711411628
1.86,1.0,0.2784009569575581,-1.0,-0.09134843697245865
1.8800000000000001,1.0,0.2886726059379751,-1.0,-0.34315723912966684
1.9000000000000001,1.0,0.2949459791610113,-1.0,-0.5305947255251009
1.92,1.0,0.29478975142133546,-1.0,-0.6740933127897366
1.94,1.0,0.29956278494317645,-1.0,-0.7787047029232015
1.96,1.0,0.29983079159314885,-1.0,-0.8585425052008987
1.98,1.0,0.30071207062538985,-1.0,-0.9176970912011667
2.0,-1.0,0.29781915333341613,1.0,-0.9643787946505213
2.02,-1.0,-0.06035317969370368,1.0,-0.2985800713108152
2.04,-1.0,-0.25749577384198935,1.0,0.19927265962091825
2.06,-1.0,-0.367176517933654,1.0,0.5734701841418325
2.08,-1.0,-0.4272794443092644,1.0,0.8578323782731625
2.1,-1.0,-0.4607616484164124,1.0,1.0655974176434329
2.12,-1.0,-0.47675926262898033,1.0,1.2243808763635742
2.14,-1.0,-0.4891447867416166,1.0,1.3430342471565575
2.16,-1.0,-0.49381721135786716,1.0,1.4330741025018023
2.18,-1.0,-0.4964269033271698,1.0,1.502143700467554
2.2,0.0,-0.4989018522238298,-1.0,1.551042455118788
2.22,0.0,-0.4391344469176271,-1.0,0.9875003783672676
2.24,0.0,-0.40718552764714727,-1.0,0.5631576317087611
2.2600000000000002,0.0,-0.38778988168757006,-1.0,0.25001872098087957
2.2800000000000002,0.0,-0.37963144825870143,-1.0,0.012205126368854468
2.3000000000000003,0.0,-0.37176921535129387,-1.0,-0.16456354183864444
2.32,0.0,-0.3692048710020783,-1.0,-0.2981794268450623
2.34,0.0,-0.36812116714280874,-1.0,-0.3999377236636457
2.36,0.0,-0.3664927995087738,-1.0,-0.47395646903267097
2.38,0.0,-0.36550789156006697,-1.0,-0.5309470288735239
