time_s,x1,x2,y
0,0.2938730992,0.0249932348,1.030241205
0.01,-1.281509925,0.5370124011,-3.266899895
0.02,0.03676642135,0.5482658053,0.02146575457
0.03,-0.5527341072,0.9470042098,-1.717028008
0.04,0.1001014092,0.0258020129,0.5752606359
0.05,0.7493067426,-1.487346206,3.221417617
0.06,-0.5992762947,0.3731580006,-1.445806676
0.07,1.620594746,0.6651462508,3.850416196
0.08,-0.1951516156,0.09489742759,-0.2471165555
0.09,0.7251977613,0.1077451524,2.028864682
0.1,0.829950327,-0.05032867793,2.381829093
0.11,1.76985355,-0.07941680939,4.79972754
0.12,0.6760379508,0.4234807981,1.699097236
0.13,-0.5525865295,1.571518066,-2.190513346
0.14,-0.7477294778,-0.9738190887,-0.8772039905
0.15,0.354788366,-0.2729565121,1.401971809
0.16,-1.104865699,-1.350738622,-1.504754003
0.17,0.4328640274,0.1797402026,1.241032862
0.18,1.922529597,-0.1170977062,5.149485899
0.19,0.6546332988,-1.21821808,2.798599713
0.2,-0.7312114909,-0.5655261512,-1.164184906
0.21,1.299098088,0.3344972517,3.378239801
0.22,1.169409959,-2.437266849,4.948080681
0.23,0.3970160437,-0.8242836903,1.89885834
0.24,1.005401995,-1.750435714,4.027078201
0.25,0.0772694177,-1.464343676,1.506199726
0.26,0.5505096149,-0.5416365012,2.067007759
0.27,-2.335255658,0.1641267029,-5.63945771
0.28,1.555603147,0.8941770086,3.56635342
0.29,-0.8148478738,0.3806065466,-2.002590416
0.3,-0.3608093902,-0.4171195175,-0.3548235369
0.31,-0.2987910685,-0.1669084004,-0.3789292644
0.32,-1.729826632,0.1405063126,-4.09095314
0.33,-0.9627055593,-0.3723021961,-1.869712757
0.34,-0.8477400139,0.407421712,-2.108182272
0.35,0.7782180335,-0.5329247726,2.627296885
0.36,0.1779180147,-1.015926334,1.500123291
0.37,-0.4709399493,-0.7273652553,-0.369821327
0.38,0.7082957114,-0.09733987149,2.151857289
0.39,-0.6017636413,-0.3161291056,-0.9724430463
0.4,-1.67808407,0.2084017072,-4.033849387
0.41,-1.508474543,1.122100651,-4.245185152
0.42,-0.1526982004,-0.3896147048,0.2053660913
0.43,-0.2345438558,-0.7604414347,0.223375135
0.44,-0.8097392788,-0.4995748322,-1.414393462
0.45,0.2237896348,-1.338684295,1.805855802
0.46,-0.5750823365,2.01447661,-2.525863976
0.47,1.169238396,-0.1130175453,3.311178609
0.48,-0.5087794218,-0.7988183323,-0.3954323321
0.49,-1.373112564,-0.3127590524,-2.859186278
0.5,0.3133614017,2.160085451,-0.41933997
0.51,-0.1259390947,1.513913852,-1.057412621
0.52,-0.570691109,-1.086870465,-0.3356727033
0.53,-0.3945299366,-0.7108807574,-0.181497096
0.54,0.6663144089,-0.983945665,2.635740588
0.55,1.635963811,-0.01123868167,4.371835345
0.56,0.3014597057,0.6034224488,0.6081110303
0.57,-0.750310723,0.9655400918,-2.24755756
0.58,-0.2200338634,0.3321462112,-0.5529896152
0.59,0.3639175554,1.194928107,0.3687240836
0.6,1.021801149,1.196488788,2.028016674
0.61,-2.324147621,0.892968907,-6.092211281
0.62,-0.7756624975,0.9303768794,-2.330115276
0.63,0.7167386754,-0.932818299,2.735343398
0.64,0.38128161,0.805889727,0.7062570101
0.65,-0.2381098553,-2.011375425,1.040857789
0.66,-0.6716449271,1.062097725,-2.137860849
0.67,-0.2260996601,1.141891871,-1.063644215
0.68,0.2979723781,0.3019210687,0.8268188641
0.69,0.3266352242,0.9026712161,0.4505258602
0.7,-0.5361600097,-0.723932186,-0.5399186753
0.71,-1.690537856,-1.058276484,-3.176230795
0.72,0.1019854286,0.8504720659,-0.04414681974
0.73,0.9246567483,-0.4057560903,2.893366536
0.74,-0.5638376912,-0.5326323078,-0.6942401631
0.75,0.4445323189,-1.089745383,2.236139586
0.76,-0.5302336645,-0.6001900747,-0.5892246384
0.77,1.148428916,-0.7080983699,3.649692933
0.78,0.6683534581,0.4799295682,1.624912671
0.79,-0.4002618428,-1.346803432,0.2166623667
0.8,-0.5894297273,-0.5540532983,-0.8335890872
0.81,0.2213930937,-0.1997475948,0.9893703362
0.82,-3.040378309,-1.221721206,-6.478371673
0.83,-0.9768639694,-0.03532599878,-2.127023771
0.84,0.08555938756,-0.1402993414,0.6553046101
0.85,-0.3556009834,0.5664078497,-0.9647278037
0.86,-0.4965857233,1.569176373,-2.060819607
0.87,-1.349303676,0.5284567494,-3.431609777
0.88,0.1612182782,-1.415107265,1.665721447
0.89,1.524674748,0.5942739834,3.685403907
0.9,0.0498992204,-0.4811384271,0.7648244976
0.91,1.254419842,-1.41839967,4.444517639
0.92,-0.7160901951,1.596644237,-2.607951045
0.93,-0.6160854879,0.9919684306,-1.942913584
0.94,0.1522587837,-0.220606202,0.8112474627
0.95,-0.3793433821,-0.4487927635,-0.3498112777
0.96,0.3347441815,0.1691676788,0.9951262789
0.97,-3.36662257,0.3027136711,-8.336370514
0.98,-1.206356073,0.2072291215,-2.874286046
0.99,-2.037032943,0.5957107954,-5.246371837
1,-1.06487052,-0.1481495094,-2.293603601
1.01,-1.417688176,-0.4185746362,-2.92813948
1.02,1.356272162,-1.731862897,4.894661492
1.03,-0.8511034161,0.5992149492,-2.225217279
1.04,-0.1594572488,-0.4458291391,0.1859779788
1.05,0.09853425228,0.08955643553,0.4556063964
1.06,0.7147120829,-0.5484655774,2.472247711
1.07,0.2012693274,-0.04870079117,0.8391071023
1.08,-0.9451159888,0.2657042737,-2.244687026
1.09,-1.216760065,-0.659072332,-2.284715725
1.1,-1.684211807,-0.4891149717,-3.517810984
1.11,1.633527627,1.264800142,3.48771833
1.12,-1.293531843,0.3088425828,-3.169718514
1.13,2.48473561,-0.314409224,6.685354704
1.14,-0.9817251732,-0.7382587829,-1.635370644
1.15,-0.8672009339,-0.4108479809,-1.58068505
1.16,-1.502772479,0.0532955172,-3.481964109
1.17,-0.7751432519,1.287060509,-2.524749497
1.18,-1.537462373,0.3079818867,-3.766230298
1.19,-1.19926202,-0.9607987966,-2.037150768
1.2,-0.7804891867,0.6915707857,-2.100514799
1.21,-1.100607155,-0.3544262006,-2.226617664
1.22,-0.5269937683,-0.5409682848,-0.6368376065
1.23,3.247883782,0.004491787002,8.40958625
1.24,1.213594482,-0.7072456841,3.778658305
1.25,0.4541877544,-0.8770831815,2.077833282
1.26,-0.5864004948,-0.5945710023,-0.7715890747
1.27,3.176198779,0.465469174,7.914920921
1.28,-0.0900658665,2.229126045,-1.467546435
1.29,0.9305665626,1.242572033,1.753450236
1.3,0.6541517474,-1.066173526,2.682247491
1.31,0.9130382473,-0.1127885471,2.66425611
1.32,-0.7411785098,-1.116092241,-0.7652975928
1.33,-1.150395912,0.3593136425,-2.781079856
1.34,1.76398794,-0.1305335424,4.784588937
1.35,1.210442014,0.2344856228,3.14452129
1.36,-0.1744203412,-3.247302772,2.133689474
1.37,-3.074055909,0.07313445734,-7.384491338
1.38,0.06148548223,-1.970597837,1.856779472
1.39,-0.06554752887,0.1643403898,0.04368616681
1.4,0.4641288266,-0.22896315,1.662295363
1.41,1.020350265,-0.968927773,3.549393079
1.42,-1.412001252,0.5275444673,-3.60059252
1.43,1.263972914,0.1290043792,3.341249091
1.44,-0.12229104,1.197658841,-0.803790505
1.45,-2.101667145,0.6981801854,-5.459595878
1.46,-0.1897476019,-0.4647791447,0.1775212168
1.47,2.070719697,-0.2078825446,5.634561447
1.48,0.709684312,0.187008711,1.964964061
1.49,0.4178580591,-1.391318357,2.308585267
1.5,0.4312843356,1.106941175,0.6090296972
1.51,-2.054111889,0.2535495421,-5.039534619
1.52,1.235305126,-1.556257521,4.487420897
1.53,0.6167636383,-0.158350097,1.933582909
1.54,-0.07264555324,0.6014736666,-0.3164541435
1.55,-0.103844482,0.4507883672,-0.2629293199
1.56,-1.165384693,0.5670281762,-3.013628961
1.57,-0.6108160286,-0.2811363441,-1.031807244
1.58,-0.2628032066,0.9277464064,-0.9870379518
1.59,0.995917008,-1.59110131,3.915243368
1.6,-1.309481462,-0.3524959089,-2.758342844
1.61,0.9861608542,1.717591487,1.605220538
1.62,-0.5918546106,0.3026349266,-1.381026252
1.63,-0.6030616587,-0.6724964041,-0.6704993927
1.64,0.1124103184,-0.7304535627,1.074799912
1.65,0.2875848891,-1.237454852,1.894596867
1.66,-0.4085451637,-1.240852039,0.1326635426
1.67,0.7773607092,-0.9834226989,2.886294052
1.68,-0.1275412031,0.3451265534,-0.2347379442
1.69,-1.128374036,-0.9277090936,-1.835703819
1.7,-0.04586968077,0.3127346503,-0.02159726697
1.71,-0.06190783693,1.899500823,-1.198825789
1.72,0.6584173232,-0.2244021952,2.073784222
1.73,-0.14519891,1.541373337,-1.167209343
1.74,0.0453154506,-1.182261442,1.268498996
1.75,0.739722737,-1.45960724,3.188528054
1.76,0.122515447,1.210226065,-0.2826677521
1.77,-1.357671565,0.3365908575,-3.297331713
1.78,-0.1656930263,-0.4611700703,0.2159500753
1.79,1.22142547,-0.2675825796,3.540510341
1.8,-1.302177083,-0.2408394668,-2.810784811
1.81,-0.4676256095,1.773370911,-2.092146768
1.82,-2.081111943,0.283785031,-5.078378801
1.83,0.5328928843,0.4256349902,1.379981845
1.84,0.4848523278,-2.076898713,2.948713986
1.85,-2.322604157,1.527074019,-6.547834272
1.86,0.4093457875,0.9352300884,0.6821221741
1.87,-0.1706484863,0.7729484046,-0.6439428313
1.88,0.7935565066,-0.1122636354,2.341136343
1.89,0.8695404632,0.7640086283,1.942125736
1.9,-0.8191536482,0.5067317477,-2.126172196
1.91,-1.300809792,1.322343253,-3.891568636
1.92,-1.062571299,1.632099971,-3.519219501
1.93,-0.2768590312,0.7001697539,-0.8914954618
1.94,1.392759091,1.366723766,2.821385015
1.95,0.7639889527,0.1155636199,2.135024609
1.96,-0.2874665262,0.558646316,-0.8363268205
1.97,2.028787139,-0.8516359179,5.981831665
1.98,-0.5315398621,1.088002172,-1.774900291
1.99,0.2390597141,-1.787357774,2.107264033
2,-0.2096982942,-0.5591031822,0.1286124126
2.01,0.3735799367,1.615997556,0.07756254496
2.02,-1.464041454,-0.30555572,-3.154502265
2.03,-3.086124205,0.1406386784,-7.561772695
